title,description,category,is_coherent
"Public Toilet Dirty - commercial complex","The sanitation issue of public toilet dirty in commercial complex is creating health problems","sanitation","1"
"Pest Infestation on school premises","There is pest infestation in school premises causing unhygienic conditions","sanitation","1"
"Problem with garbage not collected on slum","The problem of garbage not collected in slum needs urgent cleaning","sanitation","1"
"Problem with debris removal on hospital area","The problem of debris removal in hospital area needs urgent cleaning","sanitation","1"
"Urgent: pest infestation on hospital area","Health hazard created by pest infestation in hospital area requires immediate action","sanitation","1"
"Issue of pest infestation at commercial complex","There is pest infestation in commercial complex causing unhygienic conditions","sanitation","1"
"Issue of sewage overflow at slum","There is sewage overflow in slum causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal on school premises","There is waste dumping illegal in school premises causing unhygienic conditions","sanitation","1"
"Complaint about pest infestation near residential area","Health hazard created by pest infestation in residential area requires immediate action","sanitation","1"
"Garbage Not Collected in bus stand","The problem of garbage not collected in bus stand needs urgent cleaning","sanitation","1"
"Issue of dead animal at school premises","There is dead animal in school premises causing unhygienic conditions","sanitation","1"
"Public Toilet Dirty - commercial complex","Health hazard created by public toilet dirty in commercial complex requires immediate action","sanitation","1"
"Urgent: waste dumping illegal on residential area","There is waste dumping illegal in residential area causing unhygienic conditions","sanitation","1"
"Foul Smell - market square","The problem of foul smell in market square needs urgent cleaning","sanitation","1"
"Foul Smell - commercial complex","Health hazard created by foul smell in commercial complex requires immediate action","sanitation","1"
"Garbage Not Collected on residential area","There is garbage not collected in residential area causing unhygienic conditions","sanitation","1"
"Public Toilet Dirty near commercial complex","Health hazard created by public toilet dirty in commercial complex requires immediate action","sanitation","1"
"Pest Infestation at hospital area","The sanitation issue of pest infestation in hospital area is creating health problems","sanitation","1"
"Problem with dustbin overflowing on railway station","The problem of dustbin overflowing in railway station needs urgent cleaning","sanitation","1"
"Debris Removal at residential area","The problem of debris removal in residential area needs urgent cleaning","sanitation","1"
"Urgent: public toilet dirty on school premises","Health hazard created by public toilet dirty in school premises requires immediate action","sanitation","1"
"Issue of drain blockage at colony","The problem of drain blockage in colony needs urgent cleaning","sanitation","1"
"Urgent: debris removal on railway station","The problem of debris removal in railway station needs urgent cleaning","sanitation","1"
"Issue of dustbin overflowing at slum","Due to dustbin overflowing in slum the area has become very dirty","sanitation","1"
"Dustbin Overflowing in bus stand","Health hazard created by dustbin overflowing in bus stand requires immediate action","sanitation","1"
"Dustbin Overflowing in residential area","The sanitation issue of dustbin overflowing in residential area is creating health problems","sanitation","1"
"Dustbin Overflowing on commercial complex","Due to dustbin overflowing in commercial complex the area has become very dirty","sanitation","1"
"Urgent: toilet door broken on market square","Due to toilet door broken in market square the area has become very dirty","sanitation","1"
"Dead Animal near railway station","The sanitation issue of dead animal in railway station is creating health problems","sanitation","1"
"Sewage Overflow - railway station","Due to sewage overflow in railway station the area has become very dirty","sanitation","1"
"Garbage Not Collected at residential area","Health hazard created by garbage not collected in residential area requires immediate action","sanitation","1"
"Complaint about sewage overflow near hospital area","Health hazard created by sewage overflow in hospital area requires immediate action","sanitation","1"
"Dead Animal on colony","Health hazard created by dead animal in colony requires immediate action","sanitation","1"
"Foul Smell in market square","The problem of foul smell in market square needs urgent cleaning","sanitation","1"
"Complaint about public toilet dirty near market square","There is public toilet dirty in market square causing unhygienic conditions","sanitation","1"
"Issue of garbage not collected at school premises","Health hazard created by garbage not collected in school premises requires immediate action","sanitation","1"
"Debris Removal in hospital area","Due to debris removal in hospital area the area has become very dirty","sanitation","1"
"Complaint about debris removal near hospital area","The sanitation issue of debris removal in hospital area is creating health problems","sanitation","1"
"Waste Dumping Illegal on park","The sanitation issue of waste dumping illegal in park is creating health problems","sanitation","1"
"Problem with sewage overflow on colony","The sanitation issue of sewage overflow in colony is creating health problems","sanitation","1"
"Complaint about toilet door broken near residential area","The sanitation issue of toilet door broken in residential area is creating health problems","sanitation","1"
"Problem with waste dumping illegal on bus stand","Due to waste dumping illegal in bus stand the area has become very dirty","sanitation","1"
"Issue of pest infestation at bus stand","The problem of pest infestation in bus stand needs urgent cleaning","sanitation","1"
"Pest Infestation at slum","Health hazard created by pest infestation in slum requires immediate action","sanitation","1"
"Issue of waste dumping illegal at slum","Health hazard created by waste dumping illegal in slum requires immediate action","sanitation","1"
"Complaint about foul smell near bus stand","The sanitation issue of foul smell in bus stand is creating health problems","sanitation","1"
"Debris Removal in railway station","Due to debris removal in railway station the area has become very dirty","sanitation","1"
"Garbage Not Collected - market square","Due to garbage not collected in market square the area has become very dirty","sanitation","1"
"Garbage Not Collected at railway station","There is garbage not collected in railway station causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal - bus stand","Due to waste dumping illegal in bus stand the area has become very dirty","sanitation","1"
"Problem with pest infestation on bus stand","The sanitation issue of pest infestation in bus stand is creating health problems","sanitation","1"
"Garbage Not Collected in railway station","Health hazard created by garbage not collected in railway station requires immediate action","sanitation","1"
"Issue of sewage overflow at residential area","There is sewage overflow in residential area causing unhygienic conditions","sanitation","1"
"Sewage Overflow on market square","Health hazard created by sewage overflow in market square requires immediate action","sanitation","1"
"Problem with foul smell on bus stand","The problem of foul smell in bus stand needs urgent cleaning","sanitation","1"
"Complaint about pest infestation near market square","Due to pest infestation in market square the area has become very dirty","sanitation","1"
"Problem with toilet door broken on railway station","The problem of toilet door broken in railway station needs urgent cleaning","sanitation","1"
"Debris Removal on school premises","The problem of debris removal in school premises needs urgent cleaning","sanitation","1"
"Toilet Door Broken at park","Due to toilet door broken in park the area has become very dirty","sanitation","1"
"Urgent: debris removal on slum","Health hazard created by debris removal in slum requires immediate action","sanitation","1"
"Public Toilet Dirty on railway station","Due to public toilet dirty in railway station the area has become very dirty","sanitation","1"
"Garbage Not Collected at park","The problem of garbage not collected in park needs urgent cleaning","sanitation","1"
"Urgent: sewage overflow on hospital area","The problem of sewage overflow in hospital area needs urgent cleaning","sanitation","1"
"Complaint about public toilet dirty near commercial complex","The sanitation issue of public toilet dirty in commercial complex is creating health problems","sanitation","1"
"Dustbin Overflowing at park","The problem of dustbin overflowing in park needs urgent cleaning","sanitation","1"
"Toilet Door Broken near bus stand","Due to toilet door broken in bus stand the area has become very dirty","sanitation","1"
"Complaint about sewage overflow near railway station","Health hazard created by sewage overflow in railway station requires immediate action","sanitation","1"
"Toilet Door Broken on hospital area","The problem of toilet door broken in hospital area needs urgent cleaning","sanitation","1"
"Pest Infestation at slum","There is pest infestation in slum causing unhygienic conditions","sanitation","1"
"Dead Animal in colony","There is dead animal in colony causing unhygienic conditions","sanitation","1"
"Urgent: debris removal on railway station","The problem of debris removal in railway station needs urgent cleaning","sanitation","1"
"Issue of garbage not collected at hospital area","There is garbage not collected in hospital area causing unhygienic conditions","sanitation","1"
"Problem with toilet door broken on commercial complex","Health hazard created by toilet door broken in commercial complex requires immediate action","sanitation","1"
"Garbage Not Collected in slum","Health hazard created by garbage not collected in slum requires immediate action","sanitation","1"
"Complaint about dustbin overflowing near commercial complex","The sanitation issue of dustbin overflowing in commercial complex is creating health problems","sanitation","1"
"Pest Infestation near market square","The sanitation issue of pest infestation in market square is creating health problems","sanitation","1"
"Issue of waste dumping illegal at bus stand","The problem of waste dumping illegal in bus stand needs urgent cleaning","sanitation","1"
"Urgent: pest infestation on commercial complex","Health hazard created by pest infestation in commercial complex requires immediate action","sanitation","1"
"Complaint about drain blockage near hospital area","The problem of drain blockage in hospital area needs urgent cleaning","sanitation","1"
"Dustbin Overflowing at park","The problem of dustbin overflowing in park needs urgent cleaning","sanitation","1"
"Garbage Not Collected on colony","Due to garbage not collected in colony the area has become very dirty","sanitation","1"
"Debris Removal at railway station","The problem of debris removal in railway station needs urgent cleaning","sanitation","1"
"Foul Smell - school premises","Due to foul smell in school premises the area has become very dirty","sanitation","1"
"Dead Animal - park","Due to dead animal in park the area has become very dirty","sanitation","1"
"Public Toilet Dirty - market square","Health hazard created by public toilet dirty in market square requires immediate action","sanitation","1"
"Public Toilet Dirty - commercial complex","The problem of public toilet dirty in commercial complex needs urgent cleaning","sanitation","1"
"Debris Removal - park","The sanitation issue of debris removal in park is creating health problems","sanitation","1"
"Sewage Overflow near slum","Health hazard created by sewage overflow in slum requires immediate action","sanitation","1"
"Problem with dustbin overflowing on school premises","The problem of dustbin overflowing in school premises needs urgent cleaning","sanitation","1"
"Toilet Door Broken at commercial complex","Due to toilet door broken in commercial complex the area has become very dirty","sanitation","1"
"Waste Dumping Illegal near hospital area","Health hazard created by waste dumping illegal in hospital area requires immediate action","sanitation","1"
"Drain Blockage at residential area","Due to drain blockage in residential area the area has become very dirty","sanitation","1"
"Problem with waste dumping illegal on park","Due to waste dumping illegal in park the area has become very dirty","sanitation","1"
"Toilet Door Broken on slum","Due to toilet door broken in slum the area has become very dirty","sanitation","1"
"Dead Animal near commercial complex","Health hazard created by dead animal in commercial complex requires immediate action","sanitation","1"
"Drain Blockage - bus stand","Health hazard created by drain blockage in bus stand requires immediate action","sanitation","1"
"Issue of pest infestation at residential area","Due to pest infestation in residential area the area has become very dirty","sanitation","1"
"Problem with public toilet dirty on colony","The sanitation issue of public toilet dirty in colony is creating health problems","sanitation","1"
"Problem with pest infestation on railway station","Health hazard created by pest infestation in railway station requires immediate action","sanitation","1"
"Issue of pest infestation at school premises","Due to pest infestation in school premises the area has become very dirty","sanitation","1"
"Sewage Overflow at residential area","Health hazard created by sewage overflow in residential area requires immediate action","sanitation","1"
"Foul Smell near residential area","The sanitation issue of foul smell in residential area is creating health problems","sanitation","1"
"Pest Infestation - commercial complex","There is pest infestation in commercial complex causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal in residential area","There is waste dumping illegal in residential area causing unhygienic conditions","sanitation","1"
"Issue of garbage not collected at bus stand","The problem of garbage not collected in bus stand needs urgent cleaning","sanitation","1"
"Waste Dumping Illegal - commercial complex","Due to waste dumping illegal in commercial complex the area has become very dirty","sanitation","1"
"Complaint about public toilet dirty near commercial complex","The problem of public toilet dirty in commercial complex needs urgent cleaning","sanitation","1"
"Toilet Door Broken in colony","Health hazard created by toilet door broken in colony requires immediate action","sanitation","1"
"Public Toilet Dirty near park","There is public toilet dirty in park causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal in hospital area","There is waste dumping illegal in hospital area causing unhygienic conditions","sanitation","1"
"Dead Animal at school premises","The sanitation issue of dead animal in school premises is creating health problems","sanitation","1"
"Pest Infestation near park","The sanitation issue of pest infestation in park is creating health problems","sanitation","1"
"Issue of toilet door broken at residential area","Due to toilet door broken in residential area the area has become very dirty","sanitation","1"
"Garbage Not Collected in colony","The problem of garbage not collected in colony needs urgent cleaning","sanitation","1"
"Public Toilet Dirty in school premises","Due to public toilet dirty in school premises the area has become very dirty","sanitation","1"
"Dustbin Overflowing at hospital area","Health hazard created by dustbin overflowing in hospital area requires immediate action","sanitation","1"
"Complaint about drain blockage near colony","Due to drain blockage in colony the area has become very dirty","sanitation","1"
"Drain Blockage in park","There is drain blockage in park causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal at railway station","Health hazard created by waste dumping illegal in railway station requires immediate action","sanitation","1"
"Dustbin Overflowing at market square","Health hazard created by dustbin overflowing in market square requires immediate action","sanitation","1"
"Public Toilet Dirty near slum","Health hazard created by public toilet dirty in slum requires immediate action","sanitation","1"
"Urgent: foul smell on bus stand","The sanitation issue of foul smell in bus stand is creating health problems","sanitation","1"
"Dustbin Overflowing at hospital area","Health hazard created by dustbin overflowing in hospital area requires immediate action","sanitation","1"
"Waste Dumping Illegal on slum","The sanitation issue of waste dumping illegal in slum is creating health problems","sanitation","1"
"Problem with dustbin overflowing on school premises","The sanitation issue of dustbin overflowing in school premises is creating health problems","sanitation","1"
"Debris Removal - colony","Health hazard created by debris removal in colony requires immediate action","sanitation","1"
"Waste Dumping Illegal in school premises","Due to waste dumping illegal in school premises the area has become very dirty","sanitation","1"
"Drain Blockage on railway station","There is drain blockage in railway station causing unhygienic conditions","sanitation","1"
"Public Toilet Dirty at colony","Health hazard created by public toilet dirty in colony requires immediate action","sanitation","1"
"Waste Dumping Illegal near colony","Health hazard created by waste dumping illegal in colony requires immediate action","sanitation","1"
"Public Toilet Dirty at hospital area","The problem of public toilet dirty in hospital area needs urgent cleaning","sanitation","1"
"Drain Blockage - slum","There is drain blockage in slum causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal near market square","Due to waste dumping illegal in market square the area has become very dirty","sanitation","1"
"Debris Removal on colony","The problem of debris removal in colony needs urgent cleaning","sanitation","1"
"Pest Infestation - colony","The sanitation issue of pest infestation in colony is creating health problems","sanitation","1"
"Complaint about toilet door broken near park","The sanitation issue of toilet door broken in park is creating health problems","sanitation","1"
"Dead Animal near railway station","Due to dead animal in railway station the area has become very dirty","sanitation","1"
"Issue of drain blockage at slum","The problem of drain blockage in slum needs urgent cleaning","sanitation","1"
"Complaint about debris removal near market square","The problem of debris removal in market square needs urgent cleaning","sanitation","1"
"Waste Dumping Illegal at colony","Due to waste dumping illegal in colony the area has become very dirty","sanitation","1"
"Drain Blockage at commercial complex","The problem of drain blockage in commercial complex needs urgent cleaning","sanitation","1"
"Complaint about debris removal near hospital area","The sanitation issue of debris removal in hospital area is creating health problems","sanitation","1"
"Complaint about debris removal near bus stand","The problem of debris removal in bus stand needs urgent cleaning","sanitation","1"
"Garbage Not Collected on residential area","There is garbage not collected in residential area causing unhygienic conditions","sanitation","1"
"Drain Blockage - colony","Due to drain blockage in colony the area has become very dirty","sanitation","1"
"Toilet Door Broken near bus stand","The problem of toilet door broken in bus stand needs urgent cleaning","sanitation","1"
"Dead Animal near slum","There is dead animal in slum causing unhygienic conditions","sanitation","1"
"Dustbin Overflowing near slum","The sanitation issue of dustbin overflowing in slum is creating health problems","sanitation","1"
"Urgent: garbage not collected on park","Due to garbage not collected in park the area has become very dirty","sanitation","1"
"Dead Animal in bus stand","The sanitation issue of dead animal in bus stand is creating health problems","sanitation","1"
"Urgent: dustbin overflowing on residential area","Health hazard created by dustbin overflowing in residential area requires immediate action","sanitation","1"
"Dustbin Overflowing near railway station","Due to dustbin overflowing in railway station the area has become very dirty","sanitation","1"
"Issue of waste dumping illegal at slum","Due to waste dumping illegal in slum the area has become very dirty","sanitation","1"
"Sewage Overflow at bus stand","Due to sewage overflow in bus stand the area has become very dirty","sanitation","1"
"Urgent: pest infestation on colony","The problem of pest infestation in colony needs urgent cleaning","sanitation","1"
"Issue of drain blockage at hospital area","Health hazard created by drain blockage in hospital area requires immediate action","sanitation","1"
"Foul Smell - commercial complex","The problem of foul smell in commercial complex needs urgent cleaning","sanitation","1"
"Problem with toilet door broken on market square","The sanitation issue of toilet door broken in market square is creating health problems","sanitation","1"
"Garbage Not Collected - park","The sanitation issue of garbage not collected in park is creating health problems","sanitation","1"
"Dustbin Overflowing - hospital area","The problem of dustbin overflowing in hospital area needs urgent cleaning","sanitation","1"
"Issue of toilet door broken at residential area","Health hazard created by toilet door broken in residential area requires immediate action","sanitation","1"
"Toilet Door Broken at colony","Health hazard created by toilet door broken in colony requires immediate action","sanitation","1"
"Urgent: debris removal on slum","The sanitation issue of debris removal in slum is creating health problems","sanitation","1"
"Issue of drain blockage at market square","The sanitation issue of drain blockage in market square is creating health problems","sanitation","1"
"Issue of dead animal at commercial complex","There is dead animal in commercial complex causing unhygienic conditions","sanitation","1"
"Urgent: pest infestation on bus stand","There is pest infestation in bus stand causing unhygienic conditions","sanitation","1"
"Drain Blockage in market square","The problem of drain blockage in market square needs urgent cleaning","sanitation","1"
"Complaint about drain blockage near park","The problem of drain blockage in park needs urgent cleaning","sanitation","1"
"Public Toilet Dirty at railway station","Due to public toilet dirty in railway station the area has become very dirty","sanitation","1"
"Complaint about public toilet dirty near hospital area","Health hazard created by public toilet dirty in hospital area requires immediate action","sanitation","1"
"Complaint about dustbin overflowing near park","There is dustbin overflowing in park causing unhygienic conditions","sanitation","1"
"Public Toilet Dirty near commercial complex","Due to public toilet dirty in commercial complex the area has become very dirty","sanitation","1"
"Public Toilet Dirty in bus stand","Health hazard created by public toilet dirty in bus stand requires immediate action","sanitation","1"
"Urgent: sewage overflow on residential area","Due to sewage overflow in residential area the area has become very dirty","sanitation","1"
"Problem with public toilet dirty on park","There is public toilet dirty in park causing unhygienic conditions","sanitation","1"
"Dustbin Overflowing on market square","There is dustbin overflowing in market square causing unhygienic conditions","sanitation","1"
"Issue of dustbin overflowing at colony","The sanitation issue of dustbin overflowing in colony is creating health problems","sanitation","1"
"Garbage Not Collected near market square","Health hazard created by garbage not collected in market square requires immediate action","sanitation","1"
"Complaint about waste dumping illegal near school premises","There is waste dumping illegal in school premises causing unhygienic conditions","sanitation","1"
"Sewage Overflow near bus stand","The sanitation issue of sewage overflow in bus stand is creating health problems","sanitation","1"
"Urgent: toilet door broken on railway station","There is toilet door broken in railway station causing unhygienic conditions","sanitation","1"
"Dead Animal on residential area","Due to dead animal in residential area the area has become very dirty","sanitation","1"
"Issue of sewage overflow at railway station","The sanitation issue of sewage overflow in railway station is creating health problems","sanitation","1"
"Issue of waste dumping illegal at school premises","The sanitation issue of waste dumping illegal in school premises is creating health problems","sanitation","1"
"Debris Removal in residential area","Due to debris removal in residential area the area has become very dirty","sanitation","1"
"Problem with toilet door broken on park","Health hazard created by toilet door broken in park requires immediate action","sanitation","1"
"Toilet Door Broken in residential area","The sanitation issue of toilet door broken in residential area is creating health problems","sanitation","1"
"Foul Smell on school premises","There is foul smell in school premises causing unhygienic conditions","sanitation","1"
"Urgent: drain blockage on school premises","The problem of drain blockage in school premises needs urgent cleaning","sanitation","1"
"Dustbin Overflowing in school premises","The problem of dustbin overflowing in school premises needs urgent cleaning","sanitation","1"
"Urgent: waste dumping illegal on colony","Due to waste dumping illegal in colony the area has become very dirty","sanitation","1"
"Drain Blockage at market square","Health hazard created by drain blockage in market square requires immediate action","sanitation","1"
"Toilet Door Broken on railway station","Due to toilet door broken in railway station the area has become very dirty","sanitation","1"
"Problem with foul smell on hospital area","The sanitation issue of foul smell in hospital area is creating health problems","sanitation","1"
"Public Toilet Dirty in slum","The problem of public toilet dirty in slum needs urgent cleaning","sanitation","1"
"Urgent: dustbin overflowing on market square","Health hazard created by dustbin overflowing in market square requires immediate action","sanitation","1"
"Dustbin Overflowing in hospital area","Due to dustbin overflowing in hospital area the area has become very dirty","sanitation","1"
"Toilet Door Broken in commercial complex","The sanitation issue of toilet door broken in commercial complex is creating health problems","sanitation","1"
"Pest Infestation - colony","There is pest infestation in colony causing unhygienic conditions","sanitation","1"
"Pest Infestation - hospital area","The problem of pest infestation in hospital area needs urgent cleaning","sanitation","1"
"Sewage Overflow in railway station","Due to sewage overflow in railway station the area has become very dirty","sanitation","1"
"Debris Removal - market square","Due to debris removal in market square the area has become very dirty","sanitation","1"
"Sewage Overflow on railway station","The sanitation issue of sewage overflow in railway station is creating health problems","sanitation","1"
"Pest Infestation on slum","The problem of pest infestation in slum needs urgent cleaning","sanitation","1"
"Sewage Overflow near residential area","Due to sewage overflow in residential area the area has become very dirty","sanitation","1"
"Urgent: dustbin overflowing on slum","The problem of dustbin overflowing in slum needs urgent cleaning","sanitation","1"
"Drain Blockage near commercial complex","Due to drain blockage in commercial complex the area has become very dirty","sanitation","1"
"Foul Smell - commercial complex","The problem of foul smell in commercial complex needs urgent cleaning","sanitation","1"
"Foul Smell - commercial complex","Due to foul smell in commercial complex the area has become very dirty","sanitation","1"
"Toilet Door Broken - residential area","There is toilet door broken in residential area causing unhygienic conditions","sanitation","1"
"Problem with garbage not collected on residential area","The sanitation issue of garbage not collected in residential area is creating health problems","sanitation","1"
"Public Toilet Dirty near colony","The problem of public toilet dirty in colony needs urgent cleaning","sanitation","1"
"Urgent: foul smell on colony","The problem of foul smell in colony needs urgent cleaning","sanitation","1"
"Urgent: dustbin overflowing on school premises","The problem of dustbin overflowing in school premises needs urgent cleaning","sanitation","1"
"Problem with sewage overflow on colony","The problem of sewage overflow in colony needs urgent cleaning","sanitation","1"
"Drain Blockage on commercial complex","The problem of drain blockage in commercial complex needs urgent cleaning","sanitation","1"
"Sewage Overflow near commercial complex","The sanitation issue of sewage overflow in commercial complex is creating health problems","sanitation","1"
"Issue of garbage not collected at slum","The problem of garbage not collected in slum needs urgent cleaning","sanitation","1"
"Foul Smell on slum","Health hazard created by foul smell in slum requires immediate action","sanitation","1"
"Pest Infestation on bus stand","Due to pest infestation in bus stand the area has become very dirty","sanitation","1"
"Toilet Door Broken on hospital area","The problem of toilet door broken in hospital area needs urgent cleaning","sanitation","1"
"Problem with public toilet dirty on residential area","Due to public toilet dirty in residential area the area has become very dirty","sanitation","1"
"Debris Removal on commercial complex","The problem of debris removal in commercial complex needs urgent cleaning","sanitation","1"
"Issue of drain blockage at commercial complex","Due to drain blockage in commercial complex the area has become very dirty","sanitation","1"
"Issue of toilet door broken at park","The problem of toilet door broken in park needs urgent cleaning","sanitation","1"
"Issue of toilet door broken at colony","There is toilet door broken in colony causing unhygienic conditions","sanitation","1"
"Foul Smell on commercial complex","Health hazard created by foul smell in commercial complex requires immediate action","sanitation","1"
"Waste Dumping Illegal - park","The problem of waste dumping illegal in park needs urgent cleaning","sanitation","1"
"Issue of drain blockage at slum","The problem of drain blockage in slum needs urgent cleaning","sanitation","1"
"Drain Blockage on school premises","There is drain blockage in school premises causing unhygienic conditions","sanitation","1"
"Dead Animal on slum","The sanitation issue of dead animal in slum is creating health problems","sanitation","1"
"Complaint about drain blockage near residential area","The problem of drain blockage in residential area needs urgent cleaning","sanitation","1"
"Toilet Door Broken in bus stand","The problem of toilet door broken in bus stand needs urgent cleaning","sanitation","1"
"Urgent: debris removal on slum","Due to debris removal in slum the area has become very dirty","sanitation","1"
"Problem with drain blockage on railway station","Health hazard created by drain blockage in railway station requires immediate action","sanitation","1"
"Garbage Not Collected in park","The sanitation issue of garbage not collected in park is creating health problems","sanitation","1"
"Public Toilet Dirty near school premises","There is public toilet dirty in school premises causing unhygienic conditions","sanitation","1"
"Foul Smell at school premises","Health hazard created by foul smell in school premises requires immediate action","sanitation","1"
"Dead Animal on park","Health hazard created by dead animal in park requires immediate action","sanitation","1"
"Complaint about garbage not collected near railway station","Health hazard created by garbage not collected in railway station requires immediate action","sanitation","1"
"Dustbin Overflowing near residential area","The sanitation issue of dustbin overflowing in residential area is creating health problems","sanitation","1"
"Issue of toilet door broken at school premises","There is toilet door broken in school premises causing unhygienic conditions","sanitation","1"
"Urgent: garbage not collected on slum","Due to garbage not collected in slum the area has become very dirty","sanitation","1"
"Complaint about public toilet dirty near colony","The problem of public toilet dirty in colony needs urgent cleaning","sanitation","1"
"Problem with garbage not collected on colony","Health hazard created by garbage not collected in colony requires immediate action","sanitation","1"
"Drain Blockage at market square","The sanitation issue of drain blockage in market square is creating health problems","sanitation","1"
"Foul Smell near hospital area","The problem of foul smell in hospital area needs urgent cleaning","sanitation","1"
"Issue of dead animal at park","The problem of dead animal in park needs urgent cleaning","sanitation","1"
"Toilet Door Broken in colony","Due to toilet door broken in colony the area has become very dirty","sanitation","1"
"Public Toilet Dirty at school premises","There is public toilet dirty in school premises causing unhygienic conditions","sanitation","1"
"Foul Smell near residential area","The sanitation issue of foul smell in residential area is creating health problems","sanitation","1"
"Complaint about drain blockage near slum","The problem of drain blockage in slum needs urgent cleaning","sanitation","1"
"Waste Dumping Illegal near railway station","The problem of waste dumping illegal in railway station needs urgent cleaning","sanitation","1"
"Dead Animal - commercial complex","There is dead animal in commercial complex causing unhygienic conditions","sanitation","1"
"Issue of debris removal at colony","There is debris removal in colony causing unhygienic conditions","sanitation","1"
"Urgent: pest infestation on residential area","The sanitation issue of pest infestation in residential area is creating health problems","sanitation","1"
"Public Toilet Dirty near residential area","There is public toilet dirty in residential area causing unhygienic conditions","sanitation","1"
"Complaint about sewage overflow near school premises","The sanitation issue of sewage overflow in school premises is creating health problems","sanitation","1"
"Urgent: toilet door broken on market square","There is toilet door broken in market square causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal - bus stand","There is waste dumping illegal in bus stand causing unhygienic conditions","sanitation","1"
"Urgent: public toilet dirty on bus stand","Due to public toilet dirty in bus stand the area has become very dirty","sanitation","1"
"Public Toilet Dirty at residential area","There is public toilet dirty in residential area causing unhygienic conditions","sanitation","1"
"Debris Removal in railway station","The sanitation issue of debris removal in railway station is creating health problems","sanitation","1"
"Debris Removal on school premises","The sanitation issue of debris removal in school premises is creating health problems","sanitation","1"
"Complaint about garbage not collected near colony","The sanitation issue of garbage not collected in colony is creating health problems","sanitation","1"
"Problem with waste dumping illegal on commercial complex","Due to waste dumping illegal in commercial complex the area has become very dirty","sanitation","1"
"Urgent: sewage overflow on market square","Health hazard created by sewage overflow in market square requires immediate action","sanitation","1"
"Complaint about foul smell near school premises","The sanitation issue of foul smell in school premises is creating health problems","sanitation","1"
"Urgent: debris removal on slum","Due to debris removal in slum the area has become very dirty","sanitation","1"
"Urgent: dead animal on school premises","There is dead animal in school premises causing unhygienic conditions","sanitation","1"
"Urgent: sewage overflow on hospital area","Health hazard created by sewage overflow in hospital area requires immediate action","sanitation","1"
"Foul Smell at slum","Health hazard created by foul smell in slum requires immediate action","sanitation","1"
"Complaint about drain blockage near bus stand","Due to drain blockage in bus stand the area has become very dirty","sanitation","1"
"Debris Removal near school premises","There is debris removal in school premises causing unhygienic conditions","sanitation","1"
"Garbage Not Collected - hospital area","There is garbage not collected in hospital area causing unhygienic conditions","sanitation","1"
"Waste Dumping Illegal - school premises","Health hazard created by waste dumping illegal in school premises requires immediate action","sanitation","1"
"Problem with dead animal on colony","Health hazard created by dead animal in colony requires immediate action","sanitation","1"
"Problem with sewage overflow on colony","The sanitation issue of sewage overflow in colony is creating health problems","sanitation","1"
"Issue of waste dumping illegal at commercial complex","Due to waste dumping illegal in commercial complex the area has become very dirty","sanitation","1"
"Urgent: drain blockage on market square","The sanitation issue of drain blockage in market square is creating health problems","sanitation","1"
"Debris Removal - colony","The problem of debris removal in colony needs urgent cleaning","sanitation","1"
"Dead Animal - market square","The problem of dead animal in market square needs urgent cleaning","sanitation","1"
"Complaint about drain blockage near residential area","The problem of drain blockage in residential area needs urgent cleaning","sanitation","1"
"Public Toilet Dirty - market square","The problem of public toilet dirty in market square needs urgent cleaning","sanitation","1"
"Issue of debris removal at bus stand","Health hazard created by debris removal in bus stand requires immediate action","sanitation","1"
"Sewage Overflow in park","The sanitation issue of sewage overflow in park is creating health problems","sanitation","1"
"Sewage Overflow at market square","Due to sewage overflow in market square the area has become very dirty","sanitation","1"
"Sewage Overflow on bus stand","The problem of sewage overflow in bus stand needs urgent cleaning","sanitation","1"
"Problem with dead animal on park","There is dead animal in park causing unhygienic conditions","sanitation","1"
"Urgent: foul smell on slum","Health hazard created by foul smell in slum requires immediate action","sanitation","1"
"Sewage Overflow - colony","The sanitation issue of sewage overflow in colony is creating health problems","sanitation","1"
"Urgent: waste dumping illegal on residential area","The problem of waste dumping illegal in residential area needs urgent cleaning","sanitation","1"
"Problem with garbage not collected on residential area","Health hazard created by garbage not collected in residential area requires immediate action","sanitation","1"
"Complaint about drain blockage near park","Due to drain blockage in park the area has become very dirty","sanitation","1"
"Dustbin Overflowing in railway station","Health hazard created by dustbin overflowing in railway station requires immediate action","sanitation","1"
"Drain Blockage - school premises","Health hazard created by drain blockage in school premises requires immediate action","sanitation","1"
"Pest Infestation - hospital area","Health hazard created by pest infestation in hospital area requires immediate action","sanitation","1"
"Drain Blockage on bus stand","Health hazard created by drain blockage in bus stand requires immediate action","sanitation","1"
"Complaint about garbage not collected near railway station","Due to garbage not collected in railway station the area has become very dirty","sanitation","1"
"Urgent: dustbin overflowing on colony","There is dustbin overflowing in colony causing unhygienic conditions","sanitation","1"
"Garbage Not Collected near residential area","There is garbage not collected in residential area causing unhygienic conditions","sanitation","1"
